Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,30092020,568164420,0001792
Trade Date <30-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,795,JAYSREETEA,EQ,39170,26400,67.40
20,796,JBCHEPHARM,EQ,196764,94515,48.03
20,797,JBFIND,EQ,49012,37371,76.25
20,798,JBMA,EQ,40027,13780,34.43
20,799,JCHAC,EQ,3707,1529,41.25
20,800,JINDALPHOT,EQ,1055,597,56.59
20,801,JINDALPOLY,EQ,25748,11555,44.88
20,802,JINDALSAW,EQ,452626,192555,42.54
20,803,JINDALSTEL,EQ,11724469,1183654,10.10
20,804,JINDRILL,EQ,61419,37199,60.57
20,805,JINDWORLD,EQ,16822,9881,58.74
20,806,JISLDVREQS,EQ,25788,21062,81.67
20,807,JISLJALEQS,EQ,1483957,885302,59.66
20,808,JIYAECO,EQ,22257,16490,74.09
20,809,J&KBANK,EQ,527597,415760,78.80
20,810,JKCEMENT,EQ,47317,25724,54.37
20,811,JKIL,EQ,95719,44878,46.89
20,812,JKLAKSHMI,EQ,54726,20545,37.54
20,813,JKPAPER,EQ,204492,74829,36.59
20,814,JKTYRE,EQ,502307,212464,42.30
20,815,JMA,EQ,6905,6384,92.45
20,816,JMCPROJECT,EQ,33337,18616,55.84
20,817,JMFINANCIL,EQ,471249,203996,43.29
20,818,JMTAUTOLTD,EQ,149387,93779,62.78
20,819,JOCIL,EQ,21694,13575,62.57
20,820,JPASSOCIAT,EQ,2898285,1293071,44.62
20,821,JPINFRATEC,EQ,451755,237370,52.54
20,822,JPOLYINVST,EQ,251,251,100.00
20,823,JPPOWER,EQ,15418601,9328429,60.50
20,824,JSL,EQ,838736,261142,31.14
20,825,JSLHISAR,EQ,1125394,370100,32.89
20,826,JSWENERGY,EQ,1536085,1068232,69.54
20,827,JSWHL,EQ,2618,1567,59.85
20,828,JSWSTEEL,EQ,6288603,759016,12.07
20,829,JTEKTINDIA,EQ,136585,77409,56.67
20,830,JUBILANT,EQ,304202,89024,29.26
20,831,JUBLFOOD,EQ,1055056,227631,21.58
20,832,JUBLINDS,EQ,8357,5825,69.70
20,833,JUMPNET,EQ,664633,435856,65.58
20,834,JUNIORBEES,EQ,20767,13838,66.63
20,835,JUSTDIAL,EQ,984514,264007,26.82
20,836,JYOTHYLAB,EQ,119505,72216,60.43
20,837,KABRAEXTRU,EQ,63441,45353,71.49
20,838,KAJARIACER,EQ,416455,85134,20.44
20,839,KAKATCEM,EQ,5226,1300,24.88
20,840,KALPATPOWR,EQ,371497,244598,65.84
20,841,KAMATHOTEL,EQ,140134,68554,48.92
20,842,KAMDHENU,EQ,2667,1671,62.65
20,843,KANANIIND,EQ,2300,1800,78.26
20,844,KANORICHEM,EQ,73502,33664,45.80
20,845,KANSAINER,EQ,114381,71798,62.77
20,846,KAPSTON,EQ,1303,1026,78.74
20,847,KARMAENG,EQ,2533,2532,99.96
20,848,KARURVYSYA,EQ,519841,236572,45.51
20,849,KAYA,EQ,12779,8751,68.48
20,850,KCP,EQ,90633,42990,47.43
20,851,KCPSUGIND,EQ,63081,28929,45.86
20,852,KDDL,EQ,875,602,68.80
20,853,KEC,EQ,166888,51915,31.11
20,854,KECL,EQ,31946,21555,67.47
20,855,KEI,EQ,119205,66098,55.45
20,856,KELLTONTEC,EQ,1017314,583762,57.38
20,857,KENNAMET,EQ,3337,2433,72.91
20,858,KESORAMIND,EQ,90760,54572,60.13
20,859,KEYFINSERV,EQ,327,244,74.62
20,860,KHADIM,EQ,54544,38711,70.97
20,861,KHANDSE,EQ,2134,1702,79.76
20,862,KICL,EQ,841,647,76.93
20,863,KILITCH,EQ,3333,2002,60.07
20,864,KINGFA,EQ,3984,2698,67.72
20,865,KIOCL,EQ,12509,6535,52.24
20,866,KIRIINDUS,EQ,61747,27634,44.75
20,867,KIRLFER,EQ,80341,55305,68.84
20,868,KIRLOSBROS,EQ,91742,33473,36.49
20,869,KIRLOSENG,EQ,18214,13425,73.71
20,870,KIRLOSIND,EQ,3843,3289,85.58
20,871,KITEX,EQ,42827,25678,59.96
20,872,KKCL,EQ,610,359,58.85
20,873,KMSUGAR,EQ,63411,36800,58.03
20,874,KNRCON,EQ,102457,31307,30.56
20,875,KOKUYOCMLN,EQ,49146,20365,41.44
20,876,KOLTEPATIL,EQ,19859,12082,60.84
20,877,KOPRAN,EQ,514368,256235,49.82
20,878,KOTAKBANK,EQ,2950621,1111078,37.66
20,879,KOTAKBKETF,EQ,69232,45702,66.01
20,880,KOTAKGOLD,EQ,144641,114882,79.43
20,881,KOTAKNIFTY,EQ,21245,11986,56.42
20,882,KOTAKNV20,EQ,3132,2991,95.50
20,883,KOTAKPSUBK,EQ,3796,3286,86.56
20,884,KOTARISUG,EQ,26380,19968,75.69
20,885,KOTHARIPET,EQ,16533,12508,75.65
20,886,KOTHARIPRO,EQ,3204,1096,34.21
20,887,KPITTECH,EQ,3795983,1155442,30.44
20,888,KPRMILL,EQ,289303,233024,80.55
20,889,KRBL,EQ,615953,157321,25.54
20,890,KREBSBIO,EQ,1777,1213,68.26
20,891,KRIDHANINF,EQ,37638,29530,78.46
20,892,KSB,EQ,41756,10579,25.34
20,893,KSCL,EQ,126910,28216,22.23
20,894,KSHITIJPOL,SM,24000,24000,100.00
20,895,KSK,EQ,1206437,930640,77.14
20,896,KSL,EQ,127820,80356,62.87
20,897,KSOLVES,SM,4800,4800,100.00
20,898,KTKBANK,EQ,588299,272150,46.26
20,899,KUANTUM,EQ,7348,5377,73.18
20,900,KWALITY,EQ,550471,280512,50.96
20,901,LAKSHVILAS,EQ,2422399,1249296,51.57
20,902,LALPATHLAB,EQ,55910,30051,53.75
20,903,LAMBODHARA,EQ,14323,11658,81.39
20,904,LAOPALA,EQ,184751,56426,30.54
20,905,LASA,EQ,37719,23417,62.08
20,906,LAURUSLABS,EQ,2291483,1084609,47.33
20,907,LAXMIMACH,EQ,2863,1155,40.34
20,908,LEMONTREE,EQ,297230,165849,55.80
20,909,LEXUS,SM,20000,19000,95.00
20,910,LFIC,EQ,1476,1020,69.11
20,911,LGBBROSLTD,EQ,36296,19749,54.41
20,912,LGBFORGE,EQ,5518,3829,69.39
20,913,LIBAS,EQ,94051,10273,10.92
