Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18092020,1045860201,0001804
Trade Date <18-SEP-2020>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,43,AFFLE,EQ,49123,30638,62.37
20,44,AGARIND,EQ,8288,5039,60.80
20,45,AGCNET,EQ,30859,21619,70.06
20,46,AGRITECH,EQ,4178,3040,72.76
20,47,AGROPHOS,EQ,23733,18448,77.73
20,48,AHIMSA,SM,6000,6000,100.00
20,49,AHLADA,SM,2000,1000,50.00
20,50,AHLEAST,EQ,2248,1474,65.57
20,51,AHLUCONT,EQ,22190,12546,56.54
20,52,AHLWEST,EQ,1107,528,47.70
20,53,AIAENG,EQ,407838,381718,93.60
20,54,AIONJSW,EQ,1261900,992350,78.64
20,55,AIRAN,EQ,48655,26088,53.62
20,56,AISL,SM,4800,3600,75.00
20,57,AJANTPHARM,EQ,699933,224420,32.06
20,58,AJMERA,EQ,81853,26579,32.47
20,59,AJOONI,SM,20000,12000,60.00
20,60,AKG,SM,16000,4000,25.00
20,61,AKSHARCHEM,EQ,76429,28995,37.94
20,62,AKSHOPTFBR,EQ,177678,146186,82.28
20,63,AKZOINDIA,EQ,9131,6300,69.00
20,64,ALANKIT,EQ,73115,32784,44.84
20,65,ALBERTDAVD,EQ,63104,22058,34.95
20,66,ALCHEM,EQ,38867,26751,68.83
20,67,ALEMBICLTD,EQ,2140301,433335,20.25
20,68,ALICON,EQ,3122,2007,64.29
20,69,ALKALI,EQ,54662,24649,45.09
20,70,ALKEM,EQ,253381,134588,53.12
20,71,ALKYLAMINE,EQ,27078,13892,51.30
20,72,ALLCARGO,EQ,367922,196193,53.32
20,73,ALLSEC,EQ,4604,3212,69.77
20,74,ALMONDZ,EQ,10126,6966,68.79
20,75,ALOKINDS,EQ,3826782,3783272,98.86
20,76,ALPA,EQ,89546,72280,80.72
20,77,ALPHAGEO,EQ,7458,3954,53.02
20,78,ALPSINDUS,EQ,16788,16788,100.00
20,79,AMARAJABAT,EQ,988158,418850,42.39
20,80,AMBER,EQ,604479,374784,62.00
20,81,AMBIKCO,EQ,12752,8817,69.14
20,82,AMBUJACEM,EQ,3567707,1110808,31.14
20,83,AMDIND,EQ,20556,15650,76.13
20,84,AMJLAND,EQ,3353,1901,56.70
20,85,AMJUMBO,SM,40000,40000,100.00
20,86,AMRUTANJAN,EQ,79919,30741,38.47
20,87,ANANTRAJ,EQ,72988,46747,64.05
20,88,ANDHRACEMT,EQ,199762,126550,63.35
20,89,ANDHRAPAP,EQ,61431,22508,36.64
20,90,ANDHRSUGAR,EQ,40186,15172,37.75
20,91,ANIKINDS,EQ,23911,14066,58.83
20,92,ANSALAPI,EQ,167835,136120,81.10
20,93,ANSALHSG,EQ,20110,20110,100.00
20,94,ANUP,EQ,10108,6894,68.20
20,95,APARINDS,EQ,54219,34544,63.71
20,96,APCL,EQ,79335,49587,62.50
20,97,APCOTEXIND,EQ,52912,25879,48.91
20,98,APEX,EQ,100331,40832,40.70
20,99,APLAPOLLO,EQ,332896,295006,88.62
20,100,APLLTD,EQ,1064148,447545,42.06
20,101,APOLLO,EQ,1803903,347593,19.27
20,102,APOLLOHOSP,EQ,3235148,614567,19.00
20,103,APOLLOPIPE,EQ,8773,4740,54.03
20,104,APOLLOTYRE,EQ,6045625,892745,14.77
20,105,APOLSINHOT,EQ,535,253,47.29
20,106,APTECHT,EQ,204913,48924,23.88
20,107,ARCHIDPLY,EQ,6488,5776,89.03
20,108,ARCHIES,EQ,13023,8591,65.97
20,109,ARENTERP,EQ,3602,2396,66.52
20,110,ARIES,EQ,67521,40783,60.40
20,111,ARIHANT,EQ,914,824,90.15
20,112,ARIHANTSUP,EQ,13246,12945,97.73
20,113,ARMANFIN,EQ,8404,5791,68.91
20,114,AROGRANITE,EQ,7310,4088,55.92
20,115,ARROWGREEN,EQ,15083,10243,67.91
20,116,ARSHIYA,EQ,31010,30910,99.68
20,117,ARSSINFRA,EQ,16106,12741,79.11
20,118,ARTEMISMED,EQ,8712,6221,71.41
20,119,ARVEE,SM,18000,18000,100.00
20,120,ARVIND,EQ,3491019,2031421,58.19
20,121,ARVINDFASN,EQ,159720,128966,80.75
20,122,ARVSMART,EQ,38849,19600,50.45
20,123,ASAHIINDIA,EQ,23518,15454,65.71
20,124,ASAHISONG,EQ,103596,44274,42.74
20,125,ASAL,EQ,20614,15622,75.78
20,126,ASALCBR,EQ,64289,33670,52.37
20,127,ASCOM,SM,4000,4000,100.00
20,128,ASHAPURMIN,EQ,829669,363109,43.77
20,129,ASHIANA,EQ,40392,30571,75.69
20,130,ASHIMASYN,EQ,79726,58929,73.91
20,131,ASHOKA,EQ,1156565,562500,48.64
20,132,ASHOKLEY,EQ,78661749,11373819,14.46
20,133,ASIANHOTNR,EQ,8025,2613,32.56
20,134,ASIANPAINT,EQ,3021436,1463466,48.44
20,135,ASIANTILES,EQ,387124,68719,17.75
20,136,ASPINWALL,EQ,469,354,75.48
20,137,ASTEC,EQ,97274,53391,54.89
20,138,ASTERDM,EQ,725352,385699,53.17
20,139,ASTRAL,EQ,270912,210135,77.57
20,140,ASTRAMICRO,EQ,1036886,409024,39.45
20,141,ASTRAZEN,EQ,388311,169681,43.70
20,142,ASTRON,EQ,51018,30966,60.70
20,143,ATFL,EQ,29917,16795,56.14
20,144,ATLANTA,EQ,28734,27868,96.99
20,145,ATUL,EQ,496709,453202,91.24
20,146,ATULAUTO,EQ,92504,58913,63.69
20,147,AUBANK,EQ,739071,399664,54.08
20,148,AURIONPRO,EQ,21040,19130,90.92
20,149,AUROPHARMA,EQ,6249036,1800712,28.82
20,150,AUSOMENT,EQ,9744,8418,86.39
20,151,AUTOAXLES,EQ,25195,11370,45.13
20,152,AUTOIND,EQ,21002,18936,90.16
20,153,AUTOLITIND,EQ,36759,23657,64.36
20,154,AVADHSUGAR,EQ,31530,16647,52.80
20,155,AVANTIFEED,EQ,356815,137374,38.50
20,156,AVTNPL,EQ,192952,116149,60.20
20,157,AXISBANK,EQ,20809700,6098941,29.31
20,158,AXISCADES,EQ,138182,57568,41.66
20,159,AXISGOLD,EQ,129299,82557,63.85
20,160,AXISNIFTY,EQ,1504,1336,88.83
20,161,AYMSYNTEX,EQ,16199,13331,82.30
20,162,BAFNAPH,EQ,51,51,100.00
20,163,BAGFILMS,EQ,59713,36090,60.44
20,164,BAJAJ-AUTO,EQ,937014,475182,50.71
20,165,BAJAJCON,EQ,1907658,674597,35.36
20,166,BAJAJELEC,EQ,218651,66141,30.25
20,167,BAJAJFINSV,EQ,856383,233897,27.31
20,168,BAJAJHIND,EQ,1433237,867376,60.52
20,169,BAJAJHLDNG,EQ,78730,53191,67.56
20,170,BAJFINANCE,EQ,3769116,780029,20.70
20,171,BALAJITELE,EQ,196938,76615,38.90
20,172,BALAMINES,EQ,315672,128308,40.65
20,173,BALKRISHNA,EQ,11938,5452,45.67
20,174,BALKRISIND,EQ,1772733,921962,52.01
20,175,BALMLAWRIE,EQ,458842,291878,63.61
20,176,BALPHARMA,EQ,127151,63637,50.05
20,177,BALRAMCHIN,EQ,1190982,735946,61.79
20,178,BANARBEADS,EQ,7877,5169,65.62
20,179,BANARISUG,EQ,882,622,70.52
20,180,BANCOINDIA,EQ,80344,43374,53.99
20,181,BANDHANBNK,EQ,14179997,7814576,55.11
